bng_x,bng_y,class,conf,votes,status,canmore_id,canmore_name,dist_m
239302.88725798976,568830.0348641952,smallcairn,0.5157173685729504,8,known,62929,DRUMWHIRN CAIRN,48.2
239321.7900152075,568811.2883448566,smallcairn,0.5912112817168236,8,known,62929,DRUMWHIRN CAIRN,40.3
239393.74069557202,568841.0892345952,smallcairn,0.45499311201274395,8,known,62929,DRUMWHIRN CAIRN,43.8
239356.56695761837,568804.2710571866,smallcairn,0.559921852179936,7,known,62929,DRUMWHIRN CAIRN,36.3
233870.70124578933,577428.4280128885,smallcairn,0.2644301230708758,6,known,113948,LINN HILL,12.5
234480.03782263462,577487.3199426425,smallcairn,0.5233635194599628,8,known,113926,LOW FAGGAN,38.3
234472.3444822372,577542.8637466641,smallcairn,0.3967278684888567,7,known,113926,LOW FAGGAN,35.9
234504.5375542084,577558.8325220371,smallcairn,0.27230398952960966,5,known,113926,LOW FAGGAN,39.1
234533.02932668233,577489.0803247803,smallcairn,0.38627626933157444,8,known,113926,LOW FAGGAN,45.2
233891.81983825818,577432.2445545667,smallcairn,0.2416442811489105,5,known,113948,LINN HILL,17.0
234497.46381312906,577493.5948059129,smallcairn,0.40626948078473407,6,known,113926,LOW FAGGAN,26.5
234481.35770986837,577563.031511343,smallcairn,0.34702407888003756,7,known,113926,LOW FAGGAN,46.9
